Ano;Safra;Fazenda;Talhao;Cultura;Variedade;Destinação;Colhido (Kg);Area Colhida (Há);Data Colheita
2024;2;Lagoa Bonita;Pivô 11;Milho;AS 1820;Grão;1007589;114,33;18/10/2024
2024;2;Pedra do Cerrado;Pivô 14;Feijão;TAA DAMA;Grão;158880;92;01/11/2024
2024;2;Pedra do Cerrado;Pivô 8;Sorgo;BOLIVIANO;Silagem;4340000;155;10/11/2024
2024;2;Pedra do Cerrado;Pivô 7;Capim;Mombaça;Silagem;5440000;86;07/12/2024
2024;2;Pedra do Cerrado;Pivô 12;Feijão;TAA DAMA;Grão;84800;177;27/11/2024
2024;2;Pedra do Cerrado;Pivô 10;Sorgo;BOLIVIANO;Silagem;6533000;196;17/12/2024
2024;1;Atena;Londres;Soja;TMG 2374 IPRO;Grão;232591;90,6099;16/02/2024
2024;1;São Pedro;Pivô 4;Soja;BMX EXATA i2X;Grão;586976;148,6656;02/02/2024
2024;1;Austrália;Campinas;Soja;BMX TORMENTA IPRO;Grão;68890;26,62;26/02/2024
2024;1;São Pedro;Paraguay;Soja;BMX TORMENTA IPRO;Grão;393268;140;21/02/2024
2024;1;Austrália;Piracicaba;Soja;ST 700 i2X;Grão;263763;96,63;18/03/2024
2024;1;São Bernardo;Carneirinhos;Soja;BMX TORMENTA IPRO;Grão;228387;52,26;01/03/2024
2024;1;Lagoa Bonita;Arapongas;Soja;BMX BONUS IPRO;Grão;66127;21,98;19/03/2024
2024;1;Boa Viagem;Pivô 2;Soja;P96Y90 RR;Grão;186319;48,34;12/01/2024
2024;1;Austrália;Pivô 2;Soja;BMX TORMENTA IPRO;Grão;227852;73,9;25/01/2024
2024;1;Boa Viagem;Pivô 3;Soja;BMX GUEPARDO IPRO;Grão;127834;33,16;20/01/2024
2024;1;Boa Viagem;Pivô 9;Soja;NEO 680 IPRO;Grão;162801;40,08;26/01/2024
2024;1;Boa Viagem;Pivô 10;Soja;M-SOY 6620 IPRO;Grão;266974;67,39;24/01/2024
2024;1;Lagoa Bonita;Pivô 10;Milho Doce;Thunder;Outros;2400260;133,01;02/02/2024
2024;1;Austrália;Pivô 3;Soja;BMX TORMENTA IPRO;Grão;171297;45;30/01/2024
2024;1;Austrália;Pivô 1;Soja;BMX EXATA i2X;Grão;303341;67,56;14/02/2024
2024;1;Atena;Portugal;Soja;TMG 2374 IPRO;Grão;367725;100,4;14/02/2024
2024;1;Lagoa Bonita;Cambé I;Soja;BMX TORMENTA IPRO;Grão;276078;92,54;18/02/2024
2024;1;Austrália;Santa Rita I;Soja;BMX TORMENTA IPRO;Grão;15757;5,12;21/02/2024
2024;1;Atena;Pivô 5;Soja;BMX GUEPARDO IPRO;Grão;512213;116,69;01/02/2024
2024;1;Atena;Pivô 7;Milho Doce;Thunder;Outros;1573050;80,37;02/12/2023
2024;1;Lagoa Bonita;Pivô 12;Milho Doce;Thunder;Outros;1877450;114,33;02/07/2024
2024;1;Lagoa Bonita;Guaratuba;Soja;BMX TORMENTA IPRO;Grão;104020;35,64;17/02/2024
2024;1;Austrália;Marília;Soja;BMX TORMENTA IPRO;Grão;229509;57,68;24/02/2024
2024;1;Austrália;Santa Rita II;Soja;BMX GUEPARDO IPRO;Grão;99761;40,54;26/02/2024
2024;1;Austrália;Bauru;Soja;BMX TORMENTA IPRO;Grão;198203;54,87;28/02/2024
2024;1;Austrália;Jaboticabal;Soja;BMX TORMENTA IPRO;Grão;87786;31,02;03/03/2024
