Ano;Safra;Fazenda;Talhao;Cultura;Variedade;Destinacao;Area Plantio (ha);Tipo Adubacao;Recomendacao (kg/ha);Data Inicio Plantio;Data Fim Plantio;Estado
2024;2;Boa Viagem;Pivô 10;Milho;AG 8701 PRO4;Grão;67,39;Nenhum;0;04/02/2024;14/02/2024;MG
2024;2;Boa Viagem;Pivô 11;Milho;DKB 360 PRO3;Grão;50,02;Nenhum;0;01/02/2024;02/02/2024;MG
2024;2;Boa Viagem;Pivô 12;Milho;DKB 360 PRO3;Grão;28,09;Nenhum;0;31/01/2024;31/01/2024;MG
2024;2;Atena;Bulgária;Sorgo;K 200;Grão;78,05;Nenhum;0;06/03/2024;07/03/2024;MG
2024;2;Atena;Colombia;Mix Cobertura;RX 370;Outros;106,47;Nenhum;0;20/03/2024;22/03/2024;MG
2024;2;Atena;Londres;Mix Cobertura;RX 350;Outros;90,6099;Nenhum;0;22/02/2024;23/02/2024;MG
2024;2;Atena;Peru;Mix Cobertura;RX 370;Outros;7,6;Nenhum;0;20/03/2024;20/03/2024;MG
2024;2;Atena;Rússia;Sorgo;K 200;Grão;11;Nenhum;0;08/03/2024;08/03/2024;MG
2024;2;Atena;Portugal;Mix Cobertura;RX 350;Outros;100,4;Nenhum;0;22/02/2024;23/02/2024;MG
2024;2;São Pedro;Bolívia;Mix Cobertura;RX 370;Outros;61,9787;Nenhum;0;13/03/2024;13/03/2024;MG
2024;2;São Pedro;Gotejo;Mix Cobertura;RX 370;Outros;55,1;Nenhum;0;13/03/2024;13/03/2024;MG
2024;2;São Pedro;Estados Unidos;Mix Cobertura;RX 350;Outros;29,1344;Nenhum;0;13/03/2024;13/03/2024;MG
2024;2;São Pedro;Paraguay;Mix Cobertura;RX 350;Outros;140;Nenhum;0;06/03/2024;14/03/2024;MG
2024;2;São Pedro;Perú;Mix Cobertura;RX 370;Outros;62,9286;Nenhum;0;20/03/2024;20/03/2024;MG
2024;2;São Pedro;Pivô 2;Ervilha;Lapar 83;Outros;112,0126;Nenhum;0;22/05/2024;27/05/2024;MG
2024;2;Lagoa Bonita;Astorga;Mix Cobertura;RX 250;Outros;26,49;Nenhum;0;02/04/2024;02/04/2024;MG
2024;2;Lagoa Bonita;Cambé I;Mix Cobertura;RX 350;Outros;92,5439;Nenhum;0;22/02/2024;23/03/2024;MG
2024;2;Lagoa Bonita;Campo Largo;Mix Cobertura;RX 250;Outros;13,67;Nenhum;0;02/04/2024;03/04/2024;MG
2024;2;Lagoa Bonita;Guaratuba;Mix Cobertura;RX 350;Outros;35,64;Nenhum;0;22/02/2024;23/02/2024;MG
2024;2;Austrália;Pivô 2;Capim;Tifton;Feno;73,9;Nenhum;0;24/04/2024;30/04/2024;MG
2024;2;São Bernardo;Coromandel;Sorgo;1G233;Grão;63,78;Nenhum;0;04/03/2024;05/03/2024;MG
2024;2;São Bernardo;Carneirinhos;Sorgo;1G233;Grão;52,26;Nenhum;0;02/03/2024;04/03/2024;MG
2024;2;São Bernardo;Gurinhatã;Sorgo;1G233;Grão;59,11;Nenhum;0;07/03/2024;07/03/2024;MG
2024;2;São Bernardo;Ouro Preto;Sorgo;1G233;Grão;36,73;Nenhum;0;07/03/2024;07/03/2024;MG
2024;2;Boa Viagem;Amazonas;Mix Cobertura;RX 350;Grão;236,48;Nenhum;0;29/04/2024;30/04/2024;MG
2024;2;Boa Viagem;Bahia;Mix Cobertura;RX 350;Grão;150,49;Nenhum;0;29/04/2024;30/04/2024;MG
2024;2;Atena;Alemanha;Mix Cobertura;RX 250;Outros;89,25;Nenhum;0;17/04/2024;25/04/2024;MG
2024;2;Austrália;Pivô 5;Milho;B2801 PWU;Grão;46;Nenhum;0;14/04/2024;14/04/2024;MG
2024;1;Pedra do Cerrado;Pivô 6;Soja;GH 2376/2478/2282 IPRO;Grão;140;MAP;120;08/12/2023;09/12/2023;MS
2024;1;Pedra do Cerrado;Pivô 5;Milho;NK 555 VIP3;Snaplage;90;MAP;100;13/02/2024;14/02/2024;MS
2024;1;Pedra do Cerrado;Pivô 9;Milho;KWS 9606 VIP 3;Snaplage;195;MAP;100;15/02/2024;17/02/2024;MS
2024;1;Pedra do Cerrado;RT-1_G1;Sorgo;Volumax;Silagem;200;Bioativo Composto Rocha Fosfática Apatitica;5000;22/12/2023;31/12/2023;MS
2024;1;Pedra do Cerrado;RT-1_G2;Capim;Mombaça;Feno;165;Bioativo Composto Rocha Fosfática Apatitica;5000;01/10/2023;10/10/2023;MS
2024;1;Pedra do Cerrado;RT-1_G3;Capim;Mombaça;Silagem;35;Bioativo Composto Rocha Fosfática Apatitica;5000;01/10/2023;10/10/2023;MS
2024;1;Pedra do Cerrado;RT-2_G2;Sorgo;BOLIVIANO;Silagem;472;MAP;120;25/10/2023;31/10/2023;MS
2024;1;Pedra do Cerrado;RT-2_G3;Soja;M-SOY 8349 IPRO;Grão;28;MAP;120;30/11/2023;30/11/2023;MS
2024;1;Pedra do Cerrado;RT-4;Capim;Mombaça;Silagem;25;Bioativo Composto Rocha Fosfática Apatitica;5000;06/01/2024;06/01/2024;MS
